condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
pseudoword_list,38,338,pseudoword_list,Rouliler,envige,decicrirains,les,laprece,longléclat,êprès,aisurés,les,les.,longléclat,tiennait
pseudoword_list,39,339,pseudoword_list,Douchie,se,le,sans,resenées,antece,la,au,naptirtion,fèche.,fèche,aperteuils
pseudoword_list,40,340,pseudoword_list,Que,bligne,arfecre,les,ticlavonre,croirut,au,entoyer,le,falute.,arfecre,nompoutanoux
pseudoword_list,41,341,pseudoword_list,Kampe,dès,redroyancher,la,montanait,que,aubrivant,ficoce,les,anant.,anant,vientour
pseudoword_list,42,342,pseudoword_list,Jorgue,têteuil,son,pélé,la,que,dès,isenre,veléle,le.,isenre,démires
pseudoword_list,43,343,pseudoword_list,Sorcennes,corile,réradue,dès,routre,le,que,mafine,moué,des.,corile,tondez
pseudoword_list,44,344,pseudoword_list,La,sitraite,auverse,appauder,envrons,que,cerrodre,le,se,contasidait.,cerrodre,cuel
pseudoword_list,45,345,pseudoword_list,Conteau,êpit,dations,que,les,photenges,névansualece,les,boidire,caligrès.,névansualece,déverlese
pseudoword_list,46,346,pseudoword_list,Porieux,gérie,de,la,peteur,quitrisa,entotait,fervernir,hes,le.,quitrisa,survite
pseudoword_list,47,347,pseudoword_list,Glispatait,une,la,un,jeça,arcousil,tertrousais,vegné,prosémée,est.,prosémée,mitemps
pseudoword_list,48,348,pseudoword_list,Le,hôtu,arême,drouffle,que,carlon,marponre,parsicond,le,saumoisins.,parsicond,pleugent
pseudoword_list,49,349,pseudoword_list,Le,sa,pertinjoux,que,dès,soumantité,jum,se,nent,souties.,soumantité,émavait
pseudoword_list,50,350,pseudoword_list,Mier,et,le,jourcitin,mouiltervec,au,le,trabafont,voft,braités.,mouiltervec,craidique
pseudoword_list,51,351,pseudoword_list,Le,le,chienfiber,renlaments,vuée,le,inris,vure,et,sur.,inris,litel
pseudoword_list,52,352,pseudoword_list,Son,est,renonsi,le,icueiltesci,soisemme,trantait,et,artits,désiltant.,désiltant,consites
pseudoword_list,53,353,pseudoword_list,Pontait,et,glatenge,lère,frèsempis,saltions,les,cavotes,les,aux.,saltions,pourcurlons
pseudoword_list,54,354,pseudoword_list,Le,diluder,rugire,le,et,cracé,le,troce,marsitant,fabanlait.,diluder,tatin
pseudoword_list,55,355,pseudoword_list,A,moutore,rentant,sucirieur,mouporver,le,retaigne,éprense,le,et.,moutore,gidete
pseudoword_list,56,356,pseudoword_list,Pengoûte,ce,iesse,parsommons,omtensai,les,et,vivaite,est,lause.,vivaite,majourde
pseudoword_list,57,357,pseudoword_list,Ésion,arsivait,le,courseaux,ce,et,a,lémoivait,sté,uques.,courseaux,ierre
pseudoword_list,58,358,pseudoword_list,Bétitel,dumetir,et,en,les,bonc,monconjou,barlais,les,aptétaibia.,monconjou,garnais
pseudoword_list,59,359,pseudoword_list,Comra,cerréles,se,comnoutete,le,et,mouquoi,otendre,onidre,le.,mouquoi,défibre
pseudoword_list,60,360,pseudoword_list,Loinreurs,me,ruislonre,convis,insmentre,le,et,âbit,un,est.,âbit,asuche
