condition,item,pair,syntax,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,word_present,word_absent
jabberwocky,38,238,adj,Les,marverlors,aurivants,escensent,l'égabour,dès,que,flis,porparnants,dévepir.,égabours,coucoune
jabberwocky,39,239,adj,La,totte,se,toure,au,scétrament,quand,le,rilot,puxe.,totte,charque
jabberwocky,40,240,adj,Le,réserte,au,pourbout,colme,dès,que,le,rodi,porserdit.,pourbout,homlu
jabberwocky,41,241,adj,Les,bodeux,étérient,dès,que,la,peuvec,luquile,les,pumètes.,bideux,plote
jabberwocky,42,242,adj,Le,préfarant,s'ichétame,dès,que,la,matel,dantis,son,adeur.,adeur,diprensiport
jabberwocky,43,243,adj,L'huc,porson,des,cholons,mangle,dès,que,le,toudif,barsife.,porson,perruse
jabberwocky,44,244,adj,L'ogé,colvait,que,le,marlais,s'aufère,quand,le,dangistre,restole.,marlais,hommotails
jabberwocky,45,245,adj,Depuis,que,les,battases,vrètent,les,baucrètes,ravent,les,mévettes.,baucrètes,curice
jabberwocky,46,246,coord,Le,cheux,jalse,l'asuveci,lounant,et,la,régneuse,courve,s'ogie.,cheux,soucran
jabberwocky,47,247,coord,Une,potuire,est,teulée,et,un,brarais,cholure,la,lagne.,cholure,duphamarre
jabberwocky,48,248,coord,Le,nouteur,crêne,le,fatoya,somallant,et,l'arite,déteuse,s'abivente.,fatoya,chocivais
jabberwocky,49,249,coord,Le,larginiste,vencousé,s'alise,et,la,ropocoup,se,gonne,juritalement.,vencousé,adecimaro
jabberwocky,50,250,coord,Le,codeusonde,nire,sopolament,et,le,pourdèpe,incale,au,lomme.,pourdèpe,inetes
jabberwocky,51,251,coord,Le,promptante,s'enthouce,sur,le,boutret,et,le,difécignoir,délise.,difécignoir,fumiment
jabberwocky,52,252,coord,Le,demalu,falors,est,saucoeur,et,son,soustion,moloyal,rèle.,soustion,édochoir
jabberwocky,53,253,coord,Les,dérommines,laistrent,aux,roupliants,et,les,pleubans,trubilument,quotrant.,pleubans,sanliputes
jabberwocky,54,254,coord,Le,jacolin,inapidu,le,forime,et,le,charsonce,le,sécollame.,sécollame,colletre
jabberwocky,55,255,coord,Le,mileuple,fogre,frésemme,et,les,prebons,à,passendit,noitonnent.,frésemme,prénistoyée
jabberwocky,56,256,coord,L'astorte,a,découté,et,les,porps,très,cimages,ont,inlité.,inlité,porduivec
jabberwocky,57,257,coord,Ce,corsave,jeuticé,a,déramé,le,gossesplors,et,rejourplé,l'apergage.,rejourplé,nogalencre
jabberwocky,58,258,coord,En,évace,les,amirèmeaux,pentiblent,et,les,tourportales,casorrent,élotamant.,amirèmeaux,alets
jabberwocky,59,259,coord,Le,commitre,accoce,goslimors,et,le,jourtabe,apère,se,gérêtenant.,accoce,uniers
jabberwocky,60,260,coord,Ce,parèdre,est,un,rèle,instulant,et,le,charsonce,s'oisionne.,rèle,fasagazard
